"!Line"	"!Chinese"	"!English"

"不载客"	"不载客"	"Not in service"
"不载客"	"回厂"	"To yard"
"不载客"	"试车"	"Test run"

"14号线"	"嘉禾望岗"	"Jiahewanggang"
"14号线"	"白云东平"	"Baiyun Dongping"
"14号线"	"夏良"	"Xialiang"
"14号线"	"太和"	"Taihe"
"14号线"	"竹料"	"Zhuliao"
"14号线"	"钟落潭"	"Zhongluotan"
"14号线"	"马沥"	"Mali"
"14号线"	"新和"	"Xinhe"
"14号线"	"太平"	"Taiping"
"14号线"	"神岗"	"Shengang"
"14号线"	"赤草"	"Chicao"
"14号线"	"从化客运站"	"Conghua Coach Terminal"
"14号线"	"东风"	"Dongfeng"
"14号线"	"红卫"	"Hongwei"
"14号线"	"新南"	"Xinnan"
"14号线"	"枫下"	"Fengxia"
"14号线"	"知识城"	"Sino-Singapore Guangzhou Knowledge City"
"14号线"	"何棠下"	"Hetangxia"
"14号线"	"旺村"	"Wangcun"
"14号线"	"汤村"	"Tangcun"
"14号线"	"镇龙北"	"Zhenlongbei"
"14号线"	"镇龙"	"Zhenlong"

"21号线"	"镇龙西"	"Zhenlongxi"
"21号线"	"镇龙"	"Zhenlong"
"21号线"	"中新"	"Zhongxin"
"21号线"	"坑贝"	"Kengbei"
"21号线"	"凤岗"	"Fenggang"
"21号线"	"朱村"	"Zhucun"
"21号线"	"山田"	"Shantian"
"21号线"	"钟岗"	"Zhonggang"
"21号线"	"增城广场"	"Zengcheng Square"
